atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2022,2023,2024,2025,2022M1,2022M2,2022M3,2022M4,2022M5,2022M6,2022M7,2022M8,2022M9,2022M10,2022M11,2022M12,2023M1,2023M2,2023M3,2023M4,2023M5,2023M6,2023M7,2023M8,2023M9,2023M10,2023M11,2023M12,2024M1,2024M2,2024M3,2024M4,2024M5,2024M6,2024M7,2024M8,2024M9,2024M10,2024M11,2024M12,2025M1,2025M2,2025M3,2025M4,2025M5,2025M6,2025M7,2025M8,2025M9,2025M10,2025M11,2025M12,2026M1,2026M2,2026M3,2026M4,2026M5,2026M6,2026M7,2026M8,2026M9,2026M10,2026M11,Total,Total_DD
3,2,0.5,1.0,10,60,4.0,4.0,4.0,4.0,97.644,0.0,0.0,0.0,37.18799999999999,0.0,0.0,61.799999999999955,0.0,27.799999999999955,-32.644000000000005,68.0,95.32000000000005,23.523999999999774,-159.29200000000014,12.963999999999942,-3.296000000000163,0.0,0.0,97.644,98.98799999999994,63.15599999999995,30.207999999999743,0.0,-20.15599999999995,117.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18799999999999,0.0,0.0,0.0,0.0,0.0,0.0,61.799999999999955,0.0,0.0,0.0,0.0,0.0,27.799999999999955,0.0,0.0,0.0,3.2240000000000464,-35.86800000000005,68.0,0.0,0.0,28.600000000000023,97.30000000000007,-30.58000000000004,-3.400000000000091,38.5,-11.576000000000136,-89.08400000000006,-32.208000000000084,-38.0,46.700000000000045,-33.736000000000104,0.0,-34.728000000000065,31.431999999999903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.6999999999995,-47.09999999999991
3,3,0.5,1.0,10,60,5.0,4.0,4.0,3.0,147.10000000000002,0.0,0.0,0.0,135.0999999999999,0.0,0.0,0.0,0.0,0.0,-68.67000000000007,121.10000000000002,144.11200000000008,31.798999999999978,-115.4580000000002,-25.911000000000058,-43.527000000000044,0.0,0.0,147.10000000000002,135.0999999999999,52.42999999999995,55.55099999999982,0.0,37.10000000000002,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.076000000000022,-54.59400000000005,121.10000000000002,0.0,0.0,0.0,88.0,56.11200000000008,9.905999999999949,63.500000000000114,-41.607000000000085,-90.85500000000013,-24.603000000000065,0.0,-25.911000000000058,0.0,0.0,-26.44799999999998,-17.079000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.65399999999966,-34.0
2,3,0.5,1.0,10,60,4.0,5.0,4.0,3.0,-52.15599999999995,-58.23300000000006,0.0,0.0,72.49999999999989,0.0,0.0,42.947000000000116,0.0,-18.500000000000114,-65.08600000000001,68.0,1.2479999999999336,-34.08100000000013,-115.4580000000002,21.123000000000047,-59.42500000000007,0.0,0.0,-110.38900000000001,115.447,-15.586000000000126,-76.47900000000027,0.0,-33.25599999999986,-18.90000000000009,0.0,-58.23300000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49999999999989,0.0,0.0,0.0,0.0,0.0,0.0,4.5470000000000255,-25.65300000000002,38.40000000000009,0.0,0.0,0.0,-28.90000000000009,0.0,10.399999999999977,0.0,-10.491999999999962,-54.59400000000005,68.0,0.0,0.0,-35.58400000000006,87.0,-50.168000000000006,-19.774000000000115,27.300000000000068,-41.607000000000085,-90.85500000000013,-24.603000000000065,0.0,46.700000000000045,-25.576999999999998,0.0,-26.04600000000005,-33.37900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.43200000000047,-55.60000000000002
2,3,1.0,0.5,10,60,4.0,4.0,4.0,3.0,94.34400000000005,0.0,0.0,0.0,95.99799999999993,0.0,0.0,-54.56500000000017,-25.071000000000026,-2.5,-73.50800000000027,68.0,98.91999999999985,14.23199999999963,-94.44900000000018,25.423000000000002,-108.21200000000022,0.0,0.0,94.34400000000005,41.432999999999765,-33.07900000000029,73.80599999999936,0.0,-25.65599999999995,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.99799999999993,0.0,0.0,0.0,0.0,0.0,0.0,-28.90000000000009,0.0,-25.665000000000077,-25.071000000000026,0.0,0.0,-26.399999999999977,0.0,23.899999999999977,0.0,-18.836000000000126,-54.67200000000014,68.0,0.0,0.0,23.199999999999932,105.39999999999998,-29.680000000000064,-18.203000000000088,71.97799999999995,-39.543000000000234,-69.84600000000012,-24.603000000000065,0.0,51.80000000000007,-26.377000000000066,0.0,-26.295000000000073,-81.91700000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29199999999867,-42.39999999999998
3,2,1.0,1.0,10,60,5.0,4.0,3.0,3.0,94.89999999999998,0.0,0.0,0.0,84.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.10000000000002,-46.007000000000176,-115.4580000000002,-25.911000000000058,-43.527000000000044,0.0,0.0,94.89999999999998,84.79999999999995,0.0,-21.267000000000394,0.0,94.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.10000000000002,0.0,0.0,0.0,-46.007000000000176,-90.85500000000013,-24.603000000000065,0.0,-25.911000000000058,0.0,0.0,-26.44799999999998,-17.079000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.9059999999995,-32.90000000000009
2,3,1.0,1.0,10,60,5.0,4.0,4.0,4.0,93.70000000000005,0.0,0.0,0.0,83.18799999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,-59.876000000000204,-159.20800000000008,-34.548,-48.0680000000001,0.0,0.0,93.70000000000005,83.18799999999987,0.0,-89.82000000000028,0.0,93.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.18799999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,0.0,0.0,0.0,-59.876000000000204,-121.20800000000008,-32.124000000000024,-38.0,-34.548,0.0,0.0,0.0,-48.0680000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.999999999999545,-55.60000000000002
2,3,1.0,1.0,10,60,4.0,4.0,4.0,3.0,89.34400000000005,0.0,0.0,0.0,81.69999999999993,0.0,0.0,-42.36500000000012,-24.978000000000065,-2.5,-73.37000000000012,68.0,82.91999999999985,-26.781000000000176,-115.4580000000002,19.523000000000025,-94.12500000000011,0.0,0.0,89.34400000000005,39.33499999999981,-32.848000000000184,10.892999999999574,0.0,-28.455999999999904,117.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.69999999999993,0.0,0.0,0.0,0.0,0.0,0.0,-16.712000000000103,0.0,-25.65300000000002,-24.978000000000065,0.0,0.0,-26.399999999999977,0.0,23.899999999999977,0.0,-18.776000000000067,-54.59400000000005,68.0,0.0,0.0,21.0,91.59999999999991,-29.680000000000064,-42.87400000000014,63.500000000000114,-47.40700000000015,-90.85500000000013,-24.603000000000065,0.0,45.90000000000009,-26.377000000000066,0.0,-26.04600000000005,-68.07900000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598999999999137,-55.60000000000002
2,2,0.5,0.5,10,60,5.0,5.0,3.0,3.0,10.394999999999982,-58.23300000000006,0.0,0.0,182.49799999999993,0.0,0.0,0.0,0.0,0.0,-65.1640000000001,120.0,89.2120000000001,-53.73300000000029,-94.44900000000018,-25.562999999999988,-108.21200000000022,0.0,0.0,-47.83800000000008,182.49799999999993,54.8359999999999,-84.53300000000036,0.0,39.89999999999998,-29.504999999999995,0.0,-58.23300000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.49799999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.491999999999962,-54.67200000000014,120.0,0.0,0.0,0.0,109.70000000000005,-20.487999999999943,-43.69900000000007,71.57799999999997,-81.6120000000002,-69.84600000000012,-24.603000000000065,0.0,-25.562999999999988,0.0,0.0,-26.295000000000073,-81.91700000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2490000000008195,-41.39999999999998
2,3,1.0,1.0,10,60,5.0,5.0,4.0,3.0,93.70000000000005,0.0,0.0,0.0,88.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,-46.007000000000176,-115.4580000000002,-25.911000000000058,-43.527000000000044,0.0,0.0,93.70000000000005,88.99999999999989,0.0,-30.567000000000462,0.0,93.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,0.0,0.0,0.0,-46.007000000000176,-90.85500000000013,-24.603000000000065,0.0,-25.911000000000058,0.0,0.0,-26.44799999999998,-17.079000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.60599999999943,-32.90000000000009
2,2,1.0,1.0,10,60,5.0,4.0,3.0,3.0,94.89999999999998,0.0,0.0,0.0,84.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.10000000000002,-46.007000000000176,-115.4580000000002,-25.911000000000058,-43.527000000000044,0.0,0.0,94.89999999999998,84.79999999999995,0.0,-21.267000000000394,0.0,94.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.10000000000002,0.0,0.0,0.0,-46.007000000000176,-90.85500000000013,-24.603000000000065,0.0,-25.911000000000058,0.0,0.0,-26.44799999999998,-17.079000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.9059999999995,-32.90000000000009
