atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
2,2,1.0,0.5,10,60,5.0,4.0,4.0,3.0,-13.18000602722168,-27.5,-96.12000274658203,-55.5999755859375,0.17647058823529413,0.6447200964788987,17,-109.30000877380371,-14.700000047683716,-97.00000190734863,-55.5999755859375
3,3,0.5,0.5,10,60,5.0,4.0,4.0,3.0,131.989990234375,-27.5,-96.12000274658203,-55.5999755859375,0.32142857142857145,1.067099086365008,28,35.86998748779297,44.299999475479126,-18.22999143600464,-55.5999755859375
3,3,1.0,1.0,10,60,5.0,4.0,4.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
2,3,1.0,1.0,10,60,4.0,5.0,3.0,3.0,-70.25001525878906,-29.79998779296875,-94.12999725341797,-55.5999755859375,0.18518518518518517,0.688406614092443,27,-164.38001251220703,-36.22000014781952,-101.47000122070312,-55.5999755859375
3,2,1.0,0.5,10,60,4.0,5.0,4.0,3.0,-62.29000473022461,-33.4000244140625,-108.2199935913086,-41.39996337890625,0.20689655172413793,0.6409005021113064,29,-170.5099983215332,-42.88999976962805,-130.0199990272522,-41.39996337890625
2,3,1.0,0.5,10,60,4.0,5.0,3.0,3.0,-31.119997024536133,-27.699951171875,-108.2199935913086,-41.39996337890625,0.2222222222222222,0.7332149342429712,27,-139.33999061584473,-25.019999623298645,-87.62999391555786,-41.39996337890625
3,2,0.5,1.0,10,60,5.0,5.0,3.0,3.0,-31.920019149780273,-29.79998779296875,-43.529998779296875,-32.29998779296875,0.24,0.7761031900773339,25,-75.45001792907715,11.830000638961792,-94.28000164031982,-32.29998779296875
3,2,1.0,0.5,10,60,4.0,4.0,3.0,3.0,30.73999786376953,-27.699951171875,-108.2199935913086,-41.39996337890625,0.2903225806451613,0.8205266478548597,31,-77.47999572753906,-5.1599995121359825,-74.71999979019165,-41.39996337890625
3,3,0.5,0.5,10,60,4.0,4.0,4.0,3.0,121.51994323730469,-33.4000244140625,-94.12000274658203,-41.39996337890625,0.40540540540540543,1.091123704010375,37,27.399940490722656,35.71999943256378,2.8800015449523926,-41.39996337890625
2,3,1.0,0.5,10,60,5.0,5.0,3.0,4.0,-67.39000701904297,-41.5999755859375,-90.43000030517578,-59.89996337890625,0.1875,0.5585252867900977,16,-157.82000732421875,-14.700000047683716,-145.52000427246094,-59.89996337890625
3,3,0.5,1.0,10,60,5.0,4.0,3.0,3.0,55.53999710083008,-29.79998779296875,-43.529998779296875,-32.29998779296875,0.32142857142857145,1.0263364769721792,28,12.009998321533203,34.30000066757202,-24.590004920959473,-32.29998779296875
2,2,1.0,0.5,10,60,4.0,5.0,3.0,4.0,-106.82001495361328,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.24,0.6222985050761348,25,-204.95001220703125,-25.019999623298645,-153.2399983406067,-67.5999755859375
3,2,0.5,0.5,10,60,5.0,5.0,3.0,4.0,-80.22000885009766,-58.0,-89.83000946044922,-59.29998779296875,0.24,0.6233902331671157,25,-170.05001831054688,-39.87000000476837,-139.9799952507019,-59.29998779296875
2,2,0.5,0.5,10,60,5.0,4.0,3.0,4.0,-34.050010681152344,-58.0,-71.93000030517578,-41.39996337890625,0.3076923076923077,0.7383514378529414,26,-105.98001098632812,-13.899999737739563,-100.87999105453491,-58.0
3,3,0.5,1.0,10,60,4.0,5.0,4.0,3.0,-75.489990234375,-33.4000244140625,-59.42999267578125,-55.5999755859375,0.3333333333333333,0.7841091965528828,33,-134.91998291015625,16.220000505447388,-115.5599946975708,-55.5999755859375
2,3,0.5,1.0,10,60,4.0,5.0,3.0,4.0,-77.17999267578125,-47.0,-3.299999237060547,-47.0999755859375,0.36666666666666664,0.8650831585021861,30,-80.4799919128418,18.670000314712524,-72.45999574661255,-47.0999755859375
3,3,0.5,1.0,10,60,5.0,4.0,3.0,4.0,39.03000259399414,-47.0,-48.06999969482422,-55.5999755859375,0.375,0.969288263447153,24,-9.039997100830078,34.30000066757202,-45.64000225067139,-55.5999755859375
3,3,1.0,1.0,10,60,5.0,4.0,3.0,4.0,-89.81001281738281,-47.0,-48.06999969482422,-55.5999755859375,0.2,0.5932981985980678,15,-137.88001251220703,-15.800000190734863,-116.9800033569336,-55.5999755859375
