atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
2,2,0.5,0.5,10,60,4.0,5.0,4.0,3.0,-70.05999755859375,-33.4000244140625,-94.12000274658203,-41.39996337890625,0.3142857142857143,0.723262331755308,35,-164.18000030517578,-12.279998779296875,-116.3199954032898,-41.39996337890625
3,2,0.5,0.5,10,60,5.0,4.0,4.0,4.0,-33.050010681152344,-58.0,-71.93000030517578,-41.39996337890625,0.3076923076923077,0.7383514378529414,26,-104.98001098632812,-13.899999737739563,-100.87999105453491,-58.0
2,3,1.0,0.5,10,60,4.0,5.0,4.0,4.0,-108.88001251220703,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.25,0.6314363777812769,24,-207.010009765625,-39.68999969959259,-131.7399983406067,-67.5999755859375
3,3,0.5,1.0,10,60,4.0,5.0,3.0,4.0,-76.17999267578125,-47.0,-3.299999237060547,-47.0999755859375,0.36666666666666664,0.867591372909243,30,-79.4799919128418,19.670000314712524,-72.45999574661255,-47.0999755859375
3,2,0.5,1.0,10,60,4.0,4.0,4.0,3.0,68.49998474121094,-33.4000244140625,-59.42999267578125,-55.5999755859375,0.4166666666666667,1.0515547478825504,36,9.069992065429688,44.4200005531311,-22.749993324279785,-55.5999755859375
3,3,0.5,1.0,10,60,4.0,5.0,3.0,3.0,-63.149993896484375,-29.79998779296875,-59.42999267578125,-55.5999755859375,0.3235294117647059,0.7900326382317676,34,-122.57998657226562,19.670000314712524,-115.5599946975708,-55.5999755859375
2,2,0.5,1.0,10,60,4.0,5.0,3.0,4.0,-66.52999877929688,-47.0,-3.299999237060547,-47.0999755859375,0.36666666666666664,0.891836343297415,30,-69.82999801635742,24.87000036239624,-68.00999307632446,-47.0999755859375
3,2,0.5,0.5,10,60,5.0,4.0,3.0,4.0,-33.050010681152344,-58.0,-71.93000030517578,-41.39996337890625,0.3076923076923077,0.7383514378529414,26,-104.98001098632812,-13.899999737739563,-100.87999105453491,-58.0
3,2,1.0,1.0,10,60,4.0,4.0,3.0,4.0,-22.270000457763672,-47.0,-31.79999542236328,-47.0999755859375,0.32,0.8565241770804449,25,-54.06999588012695,-7.360001944005489,-46.309998989105225,-47.0999755859375
2,3,0.5,0.5,10,60,5.0,5.0,4.0,4.0,36.74998474121094,-41.5999755859375,-90.43000030517578,-59.89996337890625,0.30434782608695654,0.8499808045509225,23,-53.680015563964844,22.299999713897705,-84.77999448776245,-59.89996337890625
3,2,1.0,0.5,10,60,5.0,5.0,4.0,4.0,-67.39000701904297,-41.5999755859375,-89.83000946044922,-59.29998779296875,0.1875,0.5594501993411121,16,-157.2200164794922,-14.700000047683716,-144.92000579833984,-59.29998779296875
3,2,1.0,1.0,10,60,5.0,5.0,3.0,3.0,-21.269994735717773,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.7548534444180334,16,-64.79999351501465,-15.800000190734863,-48.60000038146973,-32.29998779296875
2,2,1.0,0.5,10,60,5.0,5.0,3.0,3.0,-12.650005340576172,-27.5,-108.2199935913086,-41.39996337890625,0.16666666666666666,0.621836364473246,18,-120.86999893188477,-14.700000047683716,-108.56999969482422,-41.39996337890625
3,3,0.5,1.0,10,60,5.0,5.0,4.0,4.0,-0.7700004577636719,-47.0,-48.06999969482422,-55.5999755859375,0.3181818181818182,0.8678348046202995,22,-48.84000015258789,14.3000009059906,-65.44000148773193,-55.5999755859375
2,2,0.5,1.0,10,60,4.0,5.0,4.0,4.0,-78.8699951171875,-47.0,-3.299999237060547,-47.0999755859375,0.3793103448275862,0.884188041762222,29,-82.16999435424805,21.420000553131104,-68.00999307632446,-47.0999755859375
